n,m,lb,ub,training,jobs,LPT,RL,time,once,five times,bound
6,3,1,20,3000,"{9,10,11,12,13,16}",25,25,63.98205232620239,0,0,23
9,3,1,20,3000,"{2,4,6,6,9,11,13,18,20}",30,31,86.85233926773071,0,0,24
15,3,1,20,4000,"{1,2,3,5,5,5,6,9,10,11,13,14,15,16,18}",45,48,179.29971981048584,0,0,29
6,3,20,50,3000,"{24,25,26,26,47,48}",72,74,64.20932912826538,0,0,52
9,3,20,50,3000,"{32,34,37,39,40,40,41,43,49}",120,122,96.62329888343811,0,0,81
15,3,20,50,4000,"{27,30,31,32,34,35,36,38,40,42,42,43,44,44,50}",191,191,206.66530585289001,0,0,87
6,4,1,20,3000,"{2,5,5,9,15,15}",15,15,53.560909032821655,0,0,15
9,4,1,20,3000,"{3,3,4,6,7,8,8,15,18}",18,21,58.4358913898468,0,0,18
15,4,1,20,4000,"{2,2,3,6,6,10,11,13,13,17,18,19,20,20,20}",46,50,193.6793384552002,0,0,37
6,4,20,50,3000,"{22,23,24,29,33,49}",51,51,64.2772855758667,0,0,49
9,4,20,50,3000,"{21,23,24,27,31,34,38,38,47}",83,83,90.17728066444397,0,0,65
15,4,20,50,4000,"{21,24,26,32,34,35,38,38,41,42,43,44,45,45,50}",146,151,204.9403736591339,0,0,87
6,5,1,20,3000,"{3,5,7,8,10,11}",11,11,53.8477303981781,0,0,11
9,5,1,20,3000,"{2,3,7,7,14,14,17,19,20}",21,23,80.64417433738708,0,0,21
15,5,1,20,4000,"{2,2,3,4,4,7,7,7,8,10,11,15,16,17,19}",27,28,173.58174657821655,0,0,21
6,5,20,50,3000,"{20,26,33,37,38,38}",46,46,53.64685320854187,0,0,46
9,5,20,50,3000,"{21,24,24,28,41,41,41,45,49}",69,69,63.814571142196655,0,0,69
15,5,20,50,4000,"{20,21,22,25,26,29,30,30,32,36,36,39,39,44,49}",98,111,208.11541366577148,0,0,72
