n,m,lb,ub,training,jobs,LPT,RL,time,once,five times,bound,fixed bound ,Error from LPT,Error RL from bound,Error LPT from bound ,Mean error from LPT,Error RL from bound,Error LPT from bound 
9,3,20,50,4000,"{26,28,29,32,37,38,39,40,48}",106,106,20.60118008,3.266787659,24.13793103,61,77,0,27.35849057,27.35849057,,,
9,3,20,50,4000,"{22,32,38,39,40,40,45,47,48}",123,122,18.28066134,0,12.01044386,77,85,0.81300813,30.32786885,30.89430894,,,
9,3,20,50,4000,"{24,24,28,31,31,39,49,49,49}",112,112,7.987197399,0,0,59,88,0,21.42857143,21.42857143,,,
9,3,20,50,4000,"{20,21,26,27,28,31,36,37,45}",92,91,19.77126741,1.344537815,16.30252101,53,67,1.086956522,26.37362637,27.17391304,,,
9,3,20,50,4000,"{23,24,28,31,33,37,40,48,50}",105,105,18.77223516,1.204819277,17.1686747,59,77,0,26.66666667,26.66666667,,,
9,3,20,50,4000,"{20,20,21,24,26,41,41,43,43}",102,102,20.31122136,1.769911504,11.94690265,45,82,0,19.60784314,19.60784314,,,
9,3,20,50,4000,"{22,23,29,32,32,41,45,46,47}",108,108,17.78007412,0,16.2037037,61,86,0,20.37037037,20.37037037,,,
9,3,20,50,4000,"{20,24,28,31,32,36,44,45,46}",105,103,18.72989249,0,16.44021739,59,80,1.904761905,22.33009709,23.80952381,,,
9,3,20,50,4000,"{22,25,35,40,40,44,45,46,48}",121,120,17.57895279,1.339285714,19.19642857,75,89,0.826446281,25.83333333,26.44628099,,,
9,3,20,50,4000,"{25,31,33,39,39,42,49,49,49}",121,121,8.25767827,0,0,72,91,0,24.79338843,24.79338843,,,
9,3,20,50,4000,"{22,23,27,30,31,35,41,44,46}",102,101,18.87044311,0,14.93598862,57,76,0.980392157,24.75247525,25.49019608,,,
9,3,20,50,4000,"{24,24,31,34,35,35,37,40,48}",106,106,17.15883017,2.183406114,11.79039301,65,72,0,32.0754717,32.0754717,,,
9,3,20,50,4000,"{24,24,25,28,33,37,42,44,44}",103,103,21.30669379,0,11.11111111,53,79,0,23.30097087,23.30097087,,,
9,3,20,50,4000,"{24,30,36,36,36,39,43,45,50}",117,115,15.97036171,0,1.52284264,72,82,1.709401709,28.69565217,29.91452991,,,
9,3,20,50,4000,"{23,23,26,30,33,35,36,39,46}",99,99,18.48435116,0,10.83333333,56,71,0,28.28282828,28.28282828,,,
9,3,20,50,4000,"{22,22,23,23,24,26,30,41,46}",91,90,17.31567955,0,3.703703704,46,56,1.098901099,37.77777778,38.46153846,,,
9,3,20,50,4000,"{26,27,35,38,40,42,44,45,49}",120,117,18.16056561,3.664122137,24.73282443,73,86,2.5,26.4957265,28.33333333,,,
9,3,20,50,4000,"{21,22,27,37,38,39,39,41,43}",105,103,18.78480864,4.40060698,26.70713202,64,78,1.904761905,24.27184466,25.71428571,,,
9,3,20,50,4000,"{21,25,31,34,39,45,47,47,48}",113,113,35.7500453,1.445783133,18.55421687,65,92,0,18.5840708,18.5840708,,,
9,3,20,50,4000,"{21,25,27,35,41,45,48,49,50}",115,115,19.42385912,0,12.73644388,62,93,0,19.13043478,19.13043478,,,
9,3,20,50,4000,"{20,24,26,27,31,37,39,40,49}",100,99,17.68495011,0,7.810320781,53,76,1,23.23232323,24,,,
9,3,20,50,4000,"{22,24,30,37,43,45,45,45,47}",114,114,29.86425924,0,6.868131868,67,90,0,21.05263158,21.05263158,,,
9,3,20,50,4000,"{23,33,33,37,43,44,46,47,49}",123,122,19.09792519,0,9.574468085,70,90,0.81300813,26.2295082,26.82926829,,,
9,3,20,50,4000,"{20,22,23,33,36,36,43,49,49}",105,105,23.51165056,0.436681223,4.366812227,56,79,0,24.76190476,24.76190476,,,
9,3,20,50,4000,"{23,24,26,33,41,48,48,49,49}",119,119,24.24492002,0,15.34526854,59,96,0,19.32773109,19.32773109,,,
9,3,20,50,4000,"{22,23,24,27,28,34,35,40,49}",98,95,21.21658754,0.96,15.84,51,69,3.06122449,27.36842105,29.59183673,,,
9,3,20,50,4000,"{22,28,28,33,39,40,41,42,49}",109,109,17.46543145,0.223713647,15.65995526,61,81,0,25.68807339,25.68807339,,,
9,3,20,50,4000,"{21,21,24,26,36,39,44,46,49}",104,104,17.6209383,0,13.61502347,50,83,0,20.19230769,20.19230769,,,
9,3,20,50,4000,"{25,27,30,31,36,46,46,50,50}",117,117,23.05873299,0.261780105,15.96858639,61,92,0,21.36752137,21.36752137,,,
9,3,20,50,4000,"{23,24,25,31,36,36,39,48,50}",107,107,17.70372939,0,8.395061728,56,75,0,29.90654206,29.90654206,,,
9,3,20,50,4000,"{25,26,32,32,32,35,38,40,42}",104,102,16.40428853,0,10.76923077,64,73,1.923076923,28.43137255,29.80769231,,,
9,3,20,50,4000,"{20,26,26,27,31,34,36,40,41}",96,94,18.14958429,1.204819277,15.90361446,53,70,2.083333333,25.53191489,27.08333333,,,
9,3,20,50,4000,"{23,25,27,28,29,44,44,48,49}",111,111,19.1859076,1.821192053,23.34437086,55,88,0,20.72072072,20.72072072,,,
9,3,20,50,4000,"{20,21,22,23,25,27,31,32,38}",81,80,17.63130879,2.476190476,18.28571429,45,58,1.234567901,27.5,28.39506173,,,
9,3,20,50,4000,"{20,21,23,27,32,37,39,47,48}",99,99,17.97664666,5.053598775,31.5467075,50,76,0,23.23232323,23.23232323,,,
9,3,20,50,4000,"{24,28,33,36,37,39,41,42,49}",112,110,19.68643856,3.416149068,26.86335404,69,80,1.785714286,27.27272727,28.57142857,,,
9,3,20,50,4000,"{23,32,34,36,37,41,44,44,45}",115,114,33.60501027,0,11.94805195,70,85,0.869565217,25.43859649,26.08695652,,,
9,3,20,50,4000,"{23,25,25,27,28,37,41,41,43}",101,101,21.87743378,0,6.315789474,52,78,0,22.77227723,22.77227723,,,
9,3,20,50,4000,"{24,26,31,31,36,37,40,41,49}",108,107,19.37005019,0.234192037,12.41217799,62,77,0.925925926,28.03738318,28.7037037,,,
9,3,20,50,4000,"{25,28,34,36,42,47,49,49,50}",121,121,34.37460709,0,12.35154394,70,96,0,20.66115702,20.66115702,,,
9,3,20,50,4000,"{20,24,26,31,34,35,39,45,48}",103,102,18.21143413,5.048859935,29.15309446,57,74,0.970873786,27.45098039,28.15533981,,,
9,3,20,50,4000,"{25,30,34,34,34,39,41,50,50}",114,114,18.84585238,0,1.298701299,68,80,0,29.8245614,29.8245614,,,
9,3,20,50,4000,"{27,31,34,34,35,35,41,44,47}",110,110,19.08640957,0,3.196347032,68,76,0,30.90909091,30.90909091,,,
9,3,20,50,4000,"{26,27,32,34,41,42,44,44,49}",115,115,24.54777384,0,7.712082262,66,86,0,25.2173913,25.2173913,,,
9,3,20,50,4000,"{24,26,27,35,39,41,42,42,50}",109,109,28.12253523,1.049868766,13.91076115,62,83,0,23.85321101,23.85321101,,,
9,3,20,50,4000,"{20,23,25,26,33,40,40,44,46}",100,100,22.33740091,2.916666667,24.02777778,51,80,0,20,20,,,
9,3,20,50,4000,"{21,29,29,30,31,32,39,40,48}",100,100,16.85342193,0,8.670520231,59,71,0,29,29,,,
9,3,20,50,4000,"{20,27,28,31,31,34,35,41,50}",101,100,15.84196973,0.257731959,8.762886598,59,69,0.99009901,31,31.68316832,,,
9,3,20,50,4000,"{24,24,33,34,35,35,40,41,48}",108,107,15.64777541,0,10.31746032,67,75,0.925925926,29.90654206,30.55555556,,,
15,3,20,50,3000,"{20,20,21,22,23,24,24,29,30,35,41,43,44,44,45}",156,155,198.3440297,51.74322081,81.26729386,43,87,0.641025641,43.87096774,44.23076923,,,
15,3,20,50,3000,"{20,24,25,25,25,28,31,36,37,37,39,41,45,49,49}",172,171,138.6386409,50.09865825,80.89976322,50,86,0.581395349,49.70760234,50,,,
15,3,20,50,3000,"{22,27,33,37,41,41,42,43,44,44,44,48,48,48,49}",208,204,179.6579854,50.67444404,80.14947138,70,96,1.923076923,52.94117647,53.84615385,,,
15,3,20,50,3000,"{21,21,22,27,29,29,33,34,34,35,36,39,40,43,46}",163,172.4,45.95720315,52.03310543,84.95861821,49,79,-5.766871166,54.17633411,51.53374233,,,
15,3,20,50,3000,"{20,21,22,25,26,27,30,31,35,37,40,42,43,48,50}",166,172,54.07230115,57.17602364,87.43140566,47,85,-3.614457831,50.58139535,48.79518072,,,
15,3,20,50,3000,"{22,22,23,26,26,27,37,38,41,42,46,48,49,49,50}",182,193.5,214.8522804,55.63681523,83.46902166,49,97,-6.318681319,49.87080103,46.7032967,,,
15,3,20,50,3000,"{21,25,27,29,33,35,38,39,39,41,43,44,48,49,50}",188,188,48.9829793,57.40932642,86.6765359,56,92,0,51.06382979,51.06382979,,,
15,3,20,50,3000,"{21,25,31,31,34,36,36,37,37,40,43,43,49,50,50}",191,188,125.5194566,50.02882952,78.49317701,62,92,1.570680628,51.06382979,51.83246073,,,
15,3,20,50,3000,"{23,24,28,31,32,32,35,37,38,38,38,42,47,47,49}",183,193.8,175.6515925,48.75601375,82.1580756,59,89,-5.901639344,54.07636739,51.36612022,,,
15,3,20,50,3000,"{20,23,26,28,30,40,41,42,44,44,44,45,48,49,49}",194,204.6,123.3640478,51.15459883,84.63144162,54,93,-5.463917526,54.54545455,52.06185567,,,
15,3,20,50,3000,"{20,22,24,26,29,31,38,42,42,44,46,48,48,49,50}",187,187,53.65762997,59.87072448,85.49690277,50,96,0,48.6631016,48.6631016,,,
15,3,20,50,3000,"{20,21,22,24,27,28,28,32,37,39,43,44,45,46,49}",169,180.2,48.30286026,56.52871351,87.72323816,46,89,-6.627218935,50.61043285,47.33727811,,,
15,3,20,50,3000,"{20,20,22,22,24,28,29,37,38,39,40,40,43,44,46}",165,174.1,47.79736042,52.37803383,83.86859524,44,83,-5.515151515,52.32624928,49.6969697,,,
15,3,20,50,3000,"{24,29,32,32,33,35,38,39,39,40,42,43,44,46,46}",190,188,144.3593602,53.417603,83.25530587,64,87,1.052631579,53.72340426,54.21052632,,,
15,3,20,50,3000,"{20,24,25,26,34,35,35,35,37,43,44,46,46,46,50}",185,186,175.0505626,52.48208802,84.33981576,51,92,-0.540540541,50.53763441,50.27027027,,,
15,3,20,50,3000,"{21,23,23,26,29,30,30,31,32,32,33,33,45,47,47}",162,161,113.1882842,45.69748797,78.38945306,49,78,0.617283951,51.55279503,51.85185185,,,
15,3,20,50,3000,"{21,24,26,27,30,34,35,35,40,40,41,43,46,48,50}",181,192.3,50.25150037,55.70112855,85.43261123,53,89,-6.243093923,53.71814873,50.82872928,,,
15,3,20,50,3000,"{23,23,23,26,28,29,30,35,37,40,41,42,45,47,49}",174,181.2,43.97071123,54.66605672,85.78453797,49,87,-4.137931034,51.98675497,50,,,
15,3,20,50,3000,"{20,21,22,23,29,33,33,40,42,42,44,44,45,49,50}",180,186.6,44.80775928,50.83302017,84.61731179,45,89,-3.666666667,52.30439443,50.55555556,,,
15,3,20,50,3000,"{20,24,27,27,32,33,34,35,35,40,40,44,45,46,50}",178,178,44.44852471,50.65257924,82.93971411,54,89,0,50,50,,,
15,3,20,50,3000,"{21,21,22,23,24,24,25,30,31,32,32,35,40,42,50}",151,151,49.10116029,53.96142197,84.12242946,45,75,0,50.33112583,50.33112583,,,
15,3,20,50,3000,"{22,22,22,23,26,30,32,32,38,40,43,43,48,49,50}",175,174,42.91777802,48.19491663,81.46349361,45,91,0.571428571,47.70114943,48,,,
15,3,20,50,3000,"{21,21,30,30,31,35,39,41,43,44,46,47,47,48,48}",195,206.5,130.4825697,52.76781138,83.82880574,60,94,-5.897435897,54.47941889,51.79487179,,,
15,3,20,50,3000,"{26,27,29,30,33,35,35,36,38,39,42,43,43,46,48}",184,184,46.80700636,59.32447,87.26793628,59,86,0,53.26086957,53.26086957,,,
15,3,20,50,3000,"{25,27,29,32,38,38,38,42,43,43,43,44,44,46,49}",195,194,40.44880843,48.15032296,79.88843218,61,88,0.512820513,54.63917526,54.87179487,,,
15,3,20,50,3000,"{20,23,24,26,26,27,29,31,34,36,41,41,41,44,45}",164,163,46.18873763,55.5984556,85.54394731,50,82,0.609756098,49.69325153,50,,,
15,3,20,50,3000,"{21,23,29,33,34,35,35,36,36,38,41,47,47,47,48}",186,189,186.0875514,53.96148378,83.53366938,62,94,-1.612903226,50.26455026,49.46236559,,,
15,3,20,50,3000,"{21,21,23,25,27,28,30,32,32,39,45,46,46,48,49}",171,185.4,48.72275949,54.96880055,84.51583083,48,92,-8.421052632,50.37756203,46.19883041,,,
15,3,20,50,3000,"{21,23,26,26,30,33,34,41,41,42,42,45,46,48,49}",184,183,40.98198247,54.15707342,82.87285751,52,91,0.543478261,50.27322404,50.54347826,,,
15,3,20,50,3000,"{21,23,28,28,29,30,33,37,39,39,39,41,44,48,49}",179,176,49.39951301,51.64290143,82.37755735,56,85,1.675977654,51.70454545,52.51396648,,,
15,3,20,50,3000,"{20,23,26,30,34,34,35,39,42,43,45,46,46,49,50}",189,195,46.79662347,56.34512438,88.2964207,56,92,-3.174603175,52.82051282,51.32275132,,,
15,3,20,50,3000,"{21,24,25,30,36,39,40,40,42,43,43,44,45,47,50}",191,191,50.85001326,55.68743818,85.31863784,55,89,0,53.40314136,53.40314136,,,
15,3,20,50,3000,"{23,25,26,26,26,27,27,28,34,37,38,39,41,42,50}",165,176.7,44.40241957,50.95800525,81.99475066,52,80,-7.090909091,54.72552349,51.51515152,,,
15,3,20,50,3000,"{20,24,24,25,33,33,33,36,36,37,38,39,40,43,49}",172,182.1,42.88667655,47.4002751,81.03163686,49,79,-5.872093023,56.61724327,54.06976744,,,
15,3,20,50,3000,"{23,24,27,27,30,35,41,42,42,46,47,48,48,50,50}",196,194,127.7735028,53.83482636,85.64241011,54,96,1.020408163,50.51546392,51.02040816,,,
15,3,20,50,3000,"{20,25,26,27,27,31,33,35,38,38,39,40,43,43,47}",172,178.2,177.2763393,51.78408051,82.68200235,53,83,-3.604651163,53.42312009,51.74418605,,,
15,3,20,50,3000,"{22,24,31,31,33,35,38,40,41,42,42,46,47,48,48}",193,190,133.267447,53.29788763,84.2649806,62,93,1.554404145,51.05263158,51.8134715,,,
15,3,20,50,3000,"{24,30,31,31,32,36,38,41,43,46,47,47,48,48,50}",199,198,185.3831403,54.73313192,83.86203424,62,95,0.502512563,52.02020202,52.26130653,,,
15,3,20,50,3000,"{20,22,22,22,23,23,25,26,27,31,40,41,41,44,48}",153,152,44.16826868,49.48889192,82.30884558,44,82,0.653594771,46.05263158,46.40522876,,,
15,3,20,50,3000,"{23,24,28,29,29,32,36,36,36,40,40,44,45,46,49}",182,180,45.80055833,46.74351585,81.00864553,57,89,1.098901099,50.55555556,51.0989011,,,
15,3,20,50,3000,"{20,20,22,24,25,29,30,31,34,39,40,41,44,47,48}",166,174.1,44.08377075,56.20495495,86.30630631,46,85,-4.879518072,51.1774842,48.79518072,,,
15,3,20,50,3000,"{23,24,26,26,27,29,31,31,32,37,38,39,40,46,49}",166,176.4,41.63431168,54.68970381,85.14339445,52,79,-6.265060241,55.2154195,52.40963855,,,
15,3,20,50,3000,"{23,26,26,30,30,31,33,36,37,37,38,39,39,47,50}",176,182.5,45.30647588,52.47401247,84.35204435,56,78,-3.693181818,57.26027397,55.68181818,,,
15,3,20,50,3000,"{20,20,21,21,21,23,24,29,30,30,32,32,41,46,48}",148,146,41.43602657,43.5733674,77.0397573,42,73,1.351351351,50,50.67567568,,,
15,3,20,50,3000,"{20,21,23,24,31,33,34,34,35,37,37,42,45,46,47}",171,170,47.70513248,54.5382794,84.28045251,47,87,0.584795322,48.82352941,49.12280702,,,
15,3,20,50,3000,"{22,25,26,27,32,33,35,36,39,40,41,44,45,47,48}",181,195.4,45.61066961,59.66670075,89.1422145,53,89,-7.955801105,54.45240532,50.82872928,,,
15,3,20,50,3000,"{20,21,23,23,25,29,33,37,37,41,42,43,44,49,49}",173,172,114.7210932,53.26758711,84.7600263,46,87,0.578034682,49.41860465,49.71098266,,,
15,3,20,50,3000,"{20,25,25,27,27,31,31,32,32,33,34,39,44,48,50}",167,167.8,38.10215116,48.63980716,83.07506887,52,83,-0.479041916,50.5363528,50.2994012,,,
15,3,20,50,3000,"{20,23,26,27,31,31,31,32,33,36,39,39,41,43,44}",166,166,42.4970839,50.21532037,84.19678977,53,80,0,51.80722892,51.80722892,,,
15,3,20,50,3000,"{25,27,27,27,28,29,33,35,39,40,41,42,44,49,50}",179,179,45.71601892,55.63734986,85.30285419,54,86,0,51.95530726,51.95530726,,,
15,3,20,50,3000,"{20,21,22,27,28,28,33,36,41,41,44,45,46,49,49}",178,188.4,118.2554221,52.71084337,85.14056225,49,91,-5.842696629,51.6985138,48.87640449,,,
15,3,20,50,3000,"{22,22,23,23,23,23,26,31,34,38,39,39,39,44,47}",159,174.1,39.65708375,41.04441191,76.76915569,46,78,-9.496855346,55.19816198,50.94339623,,,
15,3,20,50,3000,"{20,20,20,23,23,27,27,27,31,33,40,41,44,44,47}",158,170,135.6849456,39.21787709,72.83054004,43,85,-7.594936709,50,46.20253165,,,
15,3,20,50,3000,"{20,22,25,25,25,27,28,35,36,37,37,37,48,48,49}",167,167,149.5053611,43.59750331,76.0166446,50,85,0,49.10179641,49.10179641,,,
15,3,20,50,3000,"{20,23,26,27,28,29,30,31,35,36,41,41,41,49,50}",171,173,44.75219655,55.49046757,88.47587603,53,82,-1.169590643,52.60115607,52.04678363,,,
15,3,20,50,3000,"{22,25,26,28,31,32,33,39,40,46,48,48,48,48,50}",189,189,206.575568,55.37821888,82.45708155,54,96,0,49.20634921,49.20634921,,,
15,3,20,50,3000,"{21,21,25,26,29,30,30,31,31,34,42,43,45,46,47}",168,176.2,42.63456964,52.87809688,83.55725379,51,88,-4.880952381,50.05675369,47.61904762,,,
15,3,20,50,3000,"{21,22,23,23,27,28,32,39,39,41,45,45,47,49,50}",178,191.6,43.15615916,52.78964229,83.42231714,46,92,-7.640449438,51.98329854,48.31460674,,,
15,3,20,50,3000,"{23,30,32,37,37,38,38,39,39,39,39,43,46,47,50}",195,193,41.15806818,39.81331169,74.51298701,69,89,1.025641026,53.88601036,54.35897436,,,
15,3,20,50,3000,"{20,22,22,24,25,26,27,29,31,33,38,40,41,44,48}",157,157,52.14547729,57.23567631,85.63201418,46,81,0,48.40764331,48.40764331,,,
15,3,20,50,3000,"{22,22,23,23,24,27,32,35,38,40,42,43,44,50,50}",173,172,149.7819862,55.13586145,84.18931024,46,87,0.578034682,49.41860465,49.71098266,,,
15,3,20,50,3000,"{24,27,27,28,29,33,33,35,36,36,41,42,47,47,48}",178,178,177.1905038,51.01787927,79.66011683,55,89,0,50,50,,,
15,3,20,50,3000,"{21,21,22,24,27,28,31,34,35,39,41,41,41,45,48}",166,166,44.83555698,55.58770344,84.14707655,46,82,0,50.60240964,50.60240964,,,
15,3,20,50,3000,"{20,20,20,20,24,24,25,33,37,37,40,42,43,44,49}",162,160,43.13570166,41.25259626,76.5138201,40,85,1.234567901,46.875,47.5308642,,,
15,3,20,50,3000,"{23,24,27,30,33,33,36,37,38,42,42,43,45,46,46}",183,182,113.3626304,52.34068627,86.2745098,57,88,0.546448087,51.64835165,51.91256831,,,
15,3,20,50,3000,"{24,25,25,29,29,30,33,36,37,37,40,44,44,47,48}",176,187.1,48.29777217,51.77639752,84.49689441,54,88,-6.306818182,52.96632817,50,,,
15,3,20,50,3000,"{20,23,23,25,27,28,28,28,28,30,30,34,40,43,45}",152,151,45.51648521,39.26868045,71.95094254,48,74,0.657894737,50.99337748,51.31578947,,,
15,3,20,50,3000,"{20,21,22,24,24,25,26,32,36,41,42,43,46,48,50}",169,167,45.76510358,59.3083504,86.34775274,46,89,1.183431953,46.70658683,47.33727811,,,
15,3,20,50,3000,"{20,25,31,32,35,35,37,37,38,41,42,44,44,46,50}",191,193.8,46.23818994,56.52318247,87.35199734,63,88,-1.465968586,54.59236326,53.92670157,,,
15,3,20,50,3000,"{20,22,23,25,26,32,32,33,33,33,40,41,41,43,47}",165,170,42.50957704,51.54004107,84.76869187,48,82,-3.03030303,51.76470588,50.3030303,,,
15,3,20,50,3000,"{20,21,22,22,25,30,31,33,36,42,43,44,47,49,49}",173,186.9,127.8739083,54.24298632,87.69997681,44,91,-8.034682081,51.31086142,47.39884393,,,
15,3,20,50,3000,"{21,22,26,28,29,31,32,32,38,44,44,45,45,47,49}",180,178,46.3356142,53.72734437,85.26398739,54,90,1.111111111,49.43820225,50,,,
15,3,20,50,3000,"{24,25,27,30,34,35,36,38,39,40,41,42,42,44,47}",182,192.1,45.18509769,56.86968839,89.31606637,57,84,-5.549450549,56.2727746,53.84615385,,,
15,3,20,50,3000,"{20,21,21,21,21,23,27,28,29,34,37,40,41,43,44}",150,160.6,45.17475557,47.14473492,81.15963196,42,81,-7.066666667,49.5641345,46,,,
15,3,20,50,3000,"{20,22,25,25,29,31,33,36,38,39,40,44,46,47,49}",175,186.6,43.80078506,56.18242158,86.8857724,50,90,-6.628571429,51.76848875,48.57142857,,,
15,3,20,50,3000,"{22,25,25,26,27,27,27,28,29,32,38,38,41,42,46}",159,158,42.73438573,44.95174462,81.10616184,51,79,0.628930818,50,50.31446541,,,
15,3,20,50,3000,"{24,27,27,27,28,28,29,29,33,33,40,40,42,43,45}",166,165.8,36.6712327,38.94757823,72.45365756,54,82,0.120481928,50.54282268,50.60240964,,,
15,3,20,50,3000,"{24,25,30,32,32,35,36,38,38,42,43,45,45,47,47}",189,187,115.9433548,53.78425949,85.16469701,62,90,1.058201058,51.87165775,52.38095238,,,
15,3,20,50,3000,"{20,21,22,25,26,28,29,33,40,41,42,49,49,50,50}",176,176,163.8350406,59.57860132,83.56246264,47,98,0,44.31818182,44.31818182,,,
15,3,20,50,3000,"{20,25,26,28,30,31,31,33,34,34,39,41,45,46,46}",171,170,136.7631068,53.98052249,82.94945123,54,86,0.584795322,49.41176471,49.70760234,,,
15,3,20,50,3000,"{23,25,26,28,30,31,32,32,33,34,35,37,43,44,44}",166,166,163.4182377,53.71646386,85.35405366,54,80,0,51.80722892,51.80722892,,,
15,3,20,50,3000,"{20,21,22,23,24,26,26,27,27,29,33,36,39,48,50}",151,151,52.1254313,57.89150146,85.87674812,45,75,0,50.33112583,50.33112583,,,
15,3,20,50,3000,"{22,27,28,33,35,36,41,42,45,46,47,48,49,50,50}",202,211.3,144.0766702,58.90064397,88.54645814,61,97,-4.603960396,54.09370563,51.98019802,,,
15,3,20,50,3000,"{26,26,34,35,35,37,37,40,41,43,45,46,47,49,49}",202,197,116.5916395,51.10217216,83.25020113,69,93,2.475247525,52.79187817,53.96039604,,,
15,3,20,50,3000,"{20,23,27,27,30,32,33,35,38,38,39,43,46,47,49}",178,176,47.68026042,56.39804325,85.26004119,54,89,1.123595506,49.43181818,50,,,
15,3,20,50,3000,"{23,27,29,31,32,42,42,43,43,43,43,48,49,49,50}",200,199,171.7732959,42.3272091,75.41557305,60,97,0.5,51.25628141,51.5,,,
15,3,20,50,3000,"{20,24,25,26,27,28,32,33,34,40,42,43,43,48,49}",173,172,49.20934653,58.85172677,87.68929077,51,86,0.578034682,50,50.28901734,,,
15,3,20,50,3000,"{22,23,24,25,25,27,29,29,30,31,36,41,43,46,48}",160,160,50.22577071,55.29045643,85.36047718,49,84,0,47.5,47.5,,,
15,3,20,50,3000,"{20,21,23,23,24,24,24,31,34,37,40,42,43,43,46}",160,159,183.5289068,49.09274194,81.10599078,46,85,0.625,46.5408805,46.875,,,
15,3,20,50,3000,"{20,20,21,23,23,23,24,32,32,34,39,41,41,43,45}",157,164.1,43.7659781,45.70735881,80.37649743,44,82,-4.522292994,50.03046923,47.77070064,,,
15,3,20,50,3000,"{22,23,25,28,29,29,31,32,33,35,37,38,43,44,44}",166,165,178.8002977,56.31313131,84.21717172,53,81,0.602409639,50.90909091,51.20481928,,,
15,3,20,50,3000,"{23,29,31,31,34,35,39,39,41,43,45,47,49,50,50}",197,196,151.8508518,56.81750961,83.34812186,62,96,0.507614213,51.02040816,51.26903553,,,
15,3,20,50,3000,"{20,22,29,31,34,35,36,37,38,44,44,45,46,47,50}",190,199.4,47.60304141,58.49740933,87.65803109,60,91,-4.947368421,54.36308927,52.10526316,,,
15,3,20,50,3000,"{20,21,25,26,27,31,31,32,35,39,43,44,44,50,50}",175,187.8,137.5021377,58.40865691,84.91406747,51,88,-7.314285714,53.14164004,49.71428571,,,
15,3,20,50,3000,"{22,22,23,24,25,27,28,29,30,31,34,42,43,48,49}",159,167.9,46.05391312,55.15144815,87.36458103,47,85,-5.597484277,49.37462775,46.5408805,,,
15,3,20,50,3000,"{23,24,26,29,30,30,31,31,31,37,38,41,44,45,45}",169,169,152.2874839,47.02311007,77.43830787,55,85,0,49.70414201,49.70414201,,,
15,3,20,50,3000,"{20,21,22,23,23,23,26,28,29,31,32,33,35,40,50}",150,146,51.28485584,54.41176471,84.25802139,45,68,2.666666667,53.42465753,54.66666667,,,
15,3,20,50,3000,"{22,23,25,31,31,32,34,38,40,41,43,48,49,49,50}",187,196.2,198.567987,55.1363691,84.52481077,56,97,-4.919786096,50.5606524,48.12834225,,,
15,3,20,50,3000,"{21,22,22,24,25,26,30,32,35,35,45,46,46,48,50}",170,177.4,44.66105866,55.35272642,84.64256271,46,92,-4.352941176,48.13979707,45.88235294,,,
15,3,20,50,3000,"{23,23,24,27,28,33,33,34,36,36,36,38,40,42,48}",168,178.1,44.48530555,48.95316804,80.78512397,51,78,-6.011904762,56.20437956,53.57142857,,,
6,4,1,20,1500,"{2,11,15,16,18,19}",26,26,2.417535782,0,0,34,26,0,0,0,,,
6,4,1,20,1500,"{1,1,7,8,9,15}",15,15,1.972862005,0,0,17,15,0,0,0,,,
6,4,1,20,1500,"{9,11,12,14,15,20}",23,23,2.441806316,0,0,29,23,0,0,0,,,
6,4,1,20,1500,"{4,6,6,10,11,14}",14,14,2.42787385,0,0,21,14,0,0,0,,,
6,4,1,20,1500,"{2,2,5,6,6,12}",12,12,2.33754015,0,0,12,12,0,0,0,,,
6,4,1,20,1500,"{1,2,2,5,11,18}",18,18,2.546236277,0,0,16,18,0,0,0,,,
6,4,1,20,1500,"{2,6,11,11,14,17}",17,17,1.904430389,0,0,25,17,0,0,0,,,
6,4,1,20,1500,"{3,4,8,10,15,19}",19,19,2.831091166,0,0,25,19,0,0,0,,,
6,4,1,20,1500,"{10,14,14,15,16,18}",28,28,2.813602448,0,0,31,28,0,0,0,,,
6,4,1,20,1500,"{1,3,5,14,15,16}",16,16,2.85892725,0,0,29,16,0,0,0,,,
6,4,1,20,1500,"{7,9,9,16,19,20}",23,23,2.743991852,0,0,35,20,0,13.04347826,13.04347826,,,
6,4,1,20,1500,"{2,6,9,13,19,20}",20,20,2.723700523,0,0,32,20,0,0,0,,,
6,4,1,20,1500,"{6,8,9,17,18,19}",23,23,2.725236177,0,0,35,19,0,17.39130435,17.39130435,,,
6,4,1,20,1500,"{1,5,6,9,13,13}",13,13,2.618588924,0,0,22,13,0,0,0,,,
6,4,1,20,1500,"{3,3,4,6,11,20}",20,20,2.770256519,0,0,17,20,0,0,0,,,
6,4,1,20,1500,"{1,11,11,14,15,19}",22,22,2.561436653,0,0,29,22,0,0,0,,,
6,4,1,20,1500,"{2,8,13,16,17,19}",21,21,2.784858227,0,0,33,21,0,0,0,,,
6,4,1,20,1500,"{3,8,9,9,12,17}",17,17,1.536246061,0,0,21,17,0,0,0,,,
6,4,1,20,1500,"{1,4,6,10,14,19}",19,19,2.717308283,0,0,24,19,0,0,0,,,
6,4,1,20,1500,"{1,4,7,10,17,20}",20,20,2.88967514,0,0,27,20,0,0,0,,,
6,4,1,20,1500,"{1,3,5,12,12,13}",13,13,2.640411615,0,0,24,13,0,0,0,,,
6,4,1,20,1500,"{1,7,7,9,13,14}",14,14,2.494146824,0,0,22,14,0,0,0,,,
