n,m,lb,ub,training,jobs,LPT,RL,time,once,five times,bound
6,3,1,20,3000,"{2,3,5,8,9,20}",20,20,52.352657318115234,0,0,20
9,3,1,20,3000,"{3,3,5,10,12,13,13,16,19}",32,35,67.34509134292603,0,0,26
15,3,1,20,4000,"{2,2,2,2,6,8,8,8,10,11,13,13,16,18,18}",47,49,99.36118793487549,0,0,29
6,3,20,50,3000,"{23,27,31,32,36,43}",66,70,43.00970792770386,0,0,63
9,3,20,50,3000,"{23,24,27,38,43,46,47,48,49}",116,136,61.98547315597534,0,0,93
15,3,20,50,4000,"{23,26,31,31,34,37,38,40,42,42,43,43,46,48,50}",193,205,131.37013268470764,0,0,89
6,4,1,20,3000,"{4,5,9,12,15,18}",18,18,43.716989040374756,0,0,18
9,4,1,20,3000,"{6,7,12,13,14,16,16,19,20}",33,34,54.82812571525574,0,0,30
15,4,1,20,4000,"{3,4,5,6,6,6,7,10,11,12,14,15,16,18,19}",40,43,123.26134610176086,0,0,29
6,4,20,50,3000,"{26,38,42,42,48,49}",80,80,35.46908211708069,0,0,80
9,4,20,50,3000,"{28,35,36,41,42,42,42,48,50}",111,106,50.978750228881836,0,0,84
15,4,20,50,4000,"{20,22,24,24,27,34,34,35,35,38,42,43,43,44,45}",133,142,126.5967800617218,0,0,85
6,5,1,20,3000,"{2,12,13,14,16,18}",18,18,38.07247543334961,0,0,18
9,5,1,20,3000,"{1,2,3,7,8,10,15,18,20}",20,20,55.711578130722046,0,0,20
15,5,1,20,4000,"{1,3,6,8,9,9,9,10,12,14,16,17,18,20,20}",37,38.3,122.3652446269989,0,0,30
6,5,20,50,3000,"{22,29,31,38,41,45}",51,51,43.456584215164185,0,0,51
9,5,20,50,3000,"{20,22,25,27,30,30,32,33,41}",57,60,57.203657388687134,0,0,57
15,5,20,50,4000,"{21,22,25,26,28,28,28,29,32,32,41,42,42,45,49}",99,103,130.61329889297485,0,0,73
